123,null,auth_sign_in_failed,"{""email"":""newmichael@gmail.com"",""reason"":""invalid_credentials"",""resource_type"":""user"",""resource_id"":null}",203.0.113.10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",2025-05-02 03:29:00,2025-05-02 03:29:00
124,1,auth_sign_in,"{""email"":""newmichael@gmail.com"",""name"":""Michael"",""role"":""owner"",""resource_type"":""user"",""resource_id"":1}",203.0.113.10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",2025-05-03 06:10:00,2025-05-03 06:10:00
11,2,stock_in,"{""product_name"":""Binder Twine"",""quantity"":139.88,""uom"":""roll"",""batch_code"":""BAT-20260509-9495"",""resource_type"":""product"",""resource_id"":4}",127.0.0.1,Node.js seed generator,2025-05-03 08:40:00,2025-05-03 08:40:00
126,null,auth_sign_in_failed,"{""email"":""juandelacruz@gmail.com"",""reason"":""invalid_credentials"",""resource_type"":""user"",""resource_id"":null}",203.0.113.24,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",2025-05-04 00:39:00,2025-05-04 00:39:00
127,2,auth_sign_in,"{""email"":""juandelacruz@gmail.com"",""name"":""Juan dela Cruz"",""role"":""staff"",""resource_type"":""user"",""resource_id"":2}",203.0.113.24,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",2025-05-05 04:49:00,2025-05-05 04:49:00
101,1,stock_out,"{""total_quantity"":18.74,""items_count"":1,""customer_reference"":null,""products"":[{""name"":""Sisal Twine"",""category"":""twines"",""uom"":""roll"",""quantity"":18.74}],""resource_type"":""dispatch"",""resource_id"":87}",127.0.0.1,Node.js seed generator,2025-05-06 03:08:00,2025-05-06 03:08:00
84,2,stock_out,"{""total_quantity"":32.98,""items_count"":3,""customer_reference"":""DR-6318"",""products"":[{""name"":""Sisal Twine"",""category"":""twines"",""uom"":""roll"",""quantity"":7.98},{""name"":""Rice Sack"",""category"":""sacks"",""uom"":""piece"",""quantity"":20},{""name"":""Gunny Sack"",""category"":""sacks"",""uom"":""piece"",""quantity"":5}],""resource_type"":""dispatch"",""resource_id"":69}",127.0.0.1,Node.js seed generator,2025-05-06 04:27:00,2025-05-06 04:27:00
64,1,stock_out,"{""total_quantity"":50,""items_count"":1,""customer_reference"":null,""products"":[{""name"":""Flour Sack"",""category"":""sacks"",""uom"":""piece"",""quantity"":50}],""resource_type"":""dispatch"",""resource_id"":48}",127.0.0.1,Node.js seed generator,2025-05-06 08:07:00,2025-05-06 08:07:00
110,2,stock_out,"{""total_quantity"":33,""items_count"":1,""customer_reference"":null,""products"":[{""name"":""Gunny Sack"",""category"":""sacks"",""uom"":""piece"",""quantity"":33}],""resource_type"":""dispatch"",""resource_id"":96}",127.0.0.1,Node.js seed generator,2025-05-22 09:09:00,2025-05-22 09:09:00
122,2,batch_update,"{""batch_id"":16,""batch_code"":""BAT-20260509-5539"",""changes"":{""quantity_remaining"":{""old"":168.35,""new"":157.92}},""resource_type"":""batch"",""resource_id"":16}",127.0.0.1,Node.js seed generator,2025-06-26 02:47:00,2025-06-26 02:47:00
